ReportedOn	CountryCode1	Country1	CountryCode2	Country2	Right	Link	As of Date	Fiscal Year	Region	Borrower Country	Borrower Country Code	Project ID	Project Name	Procurement Type	Procurement Category	Procurement Method	Product line	WB Contract Number	Major Sector	Contract Description	Contract Signing Date	Supplier	Supplier Country	Supplier Country Code	Total Contract Amount (USD)	Borrower Contract Reference Number
24/9/2013 12:00:00 AM	US	United States	GB	United Kingdom	5	http://www.theguardian.com/world/2013/sep/05/nsa-gchq-encryption-codes-security	12/18/2012 12:00:00 AM	2007	SOUTH ASIA	Afghanistan	AF	P117103	AF: National Solidarity Program III	Project Management	Consultant Services	Single Source Selection	IBRD/IDA	1327300	Agriculture, fishing, and forestry	For Continuation of Faciliation Work started in Communties i	03/07/2007 12:00:00 AM	AAD	Afghanistan	AF	$2710790.00	MRRD/NSP/NSP II/CONT/4 -AFGHANAI
25/9/2013 12:00:00 AM	US	United States	US	United States	5	http://www.wired.com/threatlevel/2013/09/nsa-backdoored-and-stole-keys/	12/18/2012 12:00:00 AM	2007	SOUTH ASIA	Afghanistan	AF	P102288	AF: NSP II	Project Management	Consultant Services	Single Source Selection	IBRD/IDA	1268537	Agriculture, fishing, and forestry	FACILITATION OF NEW COMMUNITIES IN THE DISTRICTS WHERE WORK	04/28/2007 12:00:00 AM	GHAZNI RURAL SUPPORT PROGRAM	Afghanistan	AF	$92568.00	MRRD/NSPII/NEW/12-GRSP
